"","otolith.area","otolith.length","otolith.width","otolith.perimeter"
"1",1.66798863145268,1.74309998393144,1.25928588212174,4.80005103757425
"2",0.934957152493265,1.27174134248135,0.948874486044026,3.56021871926391
"3",0.906561348937929,1.21501668953789,0.9389896461299,3.51253912287305
"4",0.930031485428014,1.18360663752966,1.02056605459858,3.53286162913499
"5",3.64487074939771,2.68377689398338,1.80821379241225,7.29053852293246
"6",2.82125206693951,2.37423272904638,1.54179678330654,6.47092932722556
"7",2.98835864999051,2.37585704787822,1.61554000920503,6.55422133806359
"8",5.12354781208123,3.16001712816409,2.07920327599569,8.67141361389748
"9",4.94656451498344,3.30362413605137,2.04532785608196,8.82300481457968
"10",5.4632697410227,3.04397584929921,2.39320283345477,8.94036027659048
"11",2.58964708725227,2.04468849276098,1.59888399098703,6.05131751111341
"12",3.31780839383122,2.4452251080511,1.7595950964518,6.97990578184898
"13",1.90132515827071,1.85573972924777,1.34788013470977,5.35999504813285
"14",4.01612342017608,2.81335416704348,1.84261827079244,7.72037982156982
"15",3.6024163843509,2.43576982511427,1.9524535299381,7.23135837962247
"16",3.45017853592791,2.51132526389276,1.80710317926911,7.09133964432569
"17",2.8083524234192,2.27125407912084,1.65398797490362,6.26721446243602
"18",2.02646230094818,2.06831499299257,1.3654020519735,5.50254432419683
"19",2.32869313308334,1.97258987421289,1.54274922557991,5.68526434304487
"20",1.91411161295232,1.69572847250964,1.40952348224444,5.12625701646423
"21",2.32023522654365,1.97073965226389,1.53084189329532,5.72449962016721
"22",1.96762298964011,1.75388435904405,1.44457977876048,5.25067050701406
"23",2.21513485236003,1.95023298547294,1.41439379620807,5.59830922478289
"24",1.69594220177432,1.82420755654436,1.26038558101627,4.91215130047809
"25",1.34079809754489,1.55941876911788,1.14317633838787,4.37015698057148
"26",1.34065374143242,1.50704028388489,1.19297176401034,4.29815078330146
"27",1.28417521707543,1.42287390202091,1.1572955491317,4.23789956425956
"28",0.962004296682258,1.31833825157054,0.966861505086657,3.65111980476552
"29",1.07716693745299,1.35187728849728,1.05250224845522,3.88277133892844
"30",0.948354216422537,1.29114821510358,0.993255231847884,3.66274150337798
"31",0.942380140664955,1.20620017886821,1.00242421353814,3.59406512667005
"32",0.898370791649892,1.26328261603904,0.928741938445228,3.56837738189222
"33",1.0332482862567,1.28670872760225,1.03292027990129,3.80675654752395
"34",0.865383454061615,1.15245123646069,0.97497208940665,3.43944870899549
"35",0.930878113904578,1.26814690814273,0.944893987259708,3.58976005291268
"36",1.00729204344087,1.27038187546108,0.993572268418152,3.70320943395039
"37",1.69804538868559,1.62852699620668,1.3366647773634,4.87291118401706
"38",1.27402056396314,1.50049782350358,1.07643155297978,4.35748742297925
"39",1.27402056396314,1.50049782350358,1.07643155297978,4.35748742297925
"40",3.56611463244748,2.54210803396168,1.80752752093294,7.22194786015327
"41",3.17451572508904,2.29670650281792,1.8397404307042,6.68769708332033
"42",2.62755045793345,2.12282984434948,1.58147863090933,5.99669006583076
"43",3.22914953255492,2.35154507361906,1.76338319570927,6.78892533813286
"44",2.92659152087017,2.20288242554483,1.65462553385889,6.45326436314523
"45",2.46848490314299,2.15651552711821,1.4834246479247,5.91917540376483
"46",2.14690614522378,1.8911438364181,1.5073250643337,5.50374564090448
"47",1.93301552244421,1.75526559913369,1.40830000393065,5.23940550885288
"48",3.55210526179773,2.45315704278465,1.87001644542695,7.17178630200199
"49",2.94234223504956,2.2079687291953,1.73087083526441,6.39876091138131
"50",2.78483849511785,2.16119640343921,1.6568766887959,6.25839091110653
"51",2.55749988772027,1.94411345555505,1.67556159407739,5.8791455453303
"52",2.57645545593579,2.00714751061338,1.61445556294417,6.02585026782567
"53",2.29431413841748,1.91160600251853,1.56167614189934,5.64041376071428
"54",1.81793952761278,1.73567964939386,1.33486377410908,4.9781649060144
"55",2.74096995738752,2.18687934395107,1.59577435110892,6.29228999992795
"56",2.97117672070971,2.25194323984989,1.71098983131009,6.71493415885585
"57",2.95738050998805,2.10984006906934,1.77893913428523,6.54858674476104
"58",2.5741780935237,2.09767091249277,1.67817772664477,6.24844497148566
